"S_ID","S_Bundesland","S_Name","OrteimGebiet","Tourismusregion","Schiverbund","seehoehevon","seehoehebis","Pistenkm","S_gondeln","S_sessel","S_schlepp"
156,"Tir","Axamer Lizum","Axams, Innsbruck","","",1583,2304,41,1,5,4
157,"Tir","Bergeralm","Steinach am Brenner","","",1048,2231,13,1,1,4
158,"Tir","Berwang","Berwang","","",1336,1740,36,1,4,8
159,"Tir","Biberwier-Marienberg","Lermoos","","",1000,1840,12,0,2,3
160,"Tir","Brunnalm","St. Jakob in Defereggen","","",1400,2525,27,1,1,7
161,"Tir","Christlum","Achenkirch am Achensee","","",950,1800,15,0,3,7
162,"Tir","Ehrwalder Alm","Ehrwald","","",1000,1922,19,1,2,4
163,"Tir","Fendels-Ried im Oberinntal-Prutz-Faggen","Ried im Oberinntal","","",880,2300,14,1,1,4
164,"Tir","Fieberbrunn","Fieberbrunn","","",840,2020,35,3,3,4
165,"Tir","Serfaus-Fiss-Ladis","Serfaus, Fiss in Tirol","","",1200,2700,180,9,11,23
166,"Tir","Fügen-Spieljoch","Fügen","","",650,2100,21,2,3,3
167,"Tir","Füssener Jöchle-Grän","Grän-Haldensee","","",1206,1823,9,1,1,3
168,"Tir","Galtür","Galtür","","",1600,2300,40,0,3,7
169,"Tir","Glungezer","Tulfes","","",950,2304,17,0,2,5
170,"Tir","Grubigstein","Lermoos","","",1000,2120,30,1,3,3
171,"Tir","Hintertuxer Gletscher","Hintertux","","",1500,3250,86,5,6,10
172,"Tir","Hochfügen-Hochzillertal","Hochfügen, Kaltenbach","","",558,2500,155,5,10,20
173,"Tir","Hochimst","Imst","","",1000,2100,8,0,2,2
174,"Tir","Hochoetz","Oetz in Tirol","","",820,2200,26,2,5,3
175,"Tir","Hochpustertal","Sillian","","",1087,2407,45,1,2,3
176,"Tir","Hochstubai","Neustift im Stubaital","","",1000,2100,,0,2,4
177,"Tir","Hochzeiger","Jerzens im Pitztal","","",1450,2450,40,1,3,5
178,"Tir","Höfener Alm-Hahnenkamm","Höfen bei Reutte","","",875,1900,13,1,2,3
179,"Tir","Ischgl-Samnaun","Ischgl, Samnaun (Schweiz)","","",1360,2870,205,5,23,16
180,"Tir","Kals am Großglockner","Kals am Großglockner","","",1365,2300,28,0,3,3
181,"Tir","Dias Alpe","Kappl","","",1180,2700,40,1,3,4
182,"Tir","Kaunertaler Gletscher","Feichten","","",2150,3200,36,0,2,6
183,"Tir","Kellerjoch","Schwaz","","",545,2030,10,0,3,4
184,"Tir","Kitzbühel","Kitzbühel","","",800,2000,168,9,28,18
185,"Tir","Kössen","Kössen","","",600,1700,30,1,3,5
186,"Tir","Kramsach","Kramsach","","",520,1800,1,0,0,2
187,"Tir","Kühtai","Kühtai in Tirol","","",2020,2820,32,0,4,8
188,"Tir","Leutasch","Weidach","","",1130,1650,15,0,1,5
189,"Tir","Matreier Goldried","Matrei in Osttirol","","",1000,2405,35,1,3,5
190,"Tir","Mutterer Alm","Mutters","","",830,830,,2,1,1
191,"Tir","Nauders, Schöneben(I) & Haideralm(I)","Nauders am Reschenpass","","",1394,2850,111,3,10,12
192,"Tir","Nesselwängle","Nesselwängle","","",1127,1560,5,0,1,4
193,"Tir","Neunerköpfle","Tannheim","","",1100,1820,,1,1,4
194,"Tir","Nordpark","Innsbruck","","",860,2260,14,2,2,0
195,"Tir","Obergurgl-Hochgurgl","Obergurgl","","",1800,3080,110,4,12,7
196,"Tir","Oberperfuss-Rangger Köpfl","Oberperfuss","","",820,2000,17,0,1,4
197,"Tir","Obertilliach-Golzentipp","Obertilliach","","",1450,2250,16,0,1,4
198,"Tir","Patscherkofel","Igls","","",900,2247,14,1,2,4
199,"Tir","Pettneu","Pettneu am Arlberg","","",1250,2020,15,0,2,2
200,"Tir","Pillersee","St. Ulrich am Pillersee","","",885,1550,22,0,1,6
201,"Tir","Pitztaler Gletscher","St. Leonhard im Pitztal-Mittelberg","","",1640,3440,35,2,2,5
202,"Tir","Rohnenlifte","Zöblen","","",1100,1500,17,0,0,3
203,"Tir","St. Anton am Arlberg","St. Anton am Arlberg, St. Christoph am Arlberg, Stuben","","",1300,2811,260,10,38,34
204,"Tir","St. Johann in Tirol","St. Johann in Tirol","","",685,1700,60,3,5,10
205,"Tir","Sattelberg","Gries am Brenner","","",1200,2050,9,0,1,3
206,"Tir","Schattwald-Zöblen","Schattwald","","",1095,1570,15,0,1,4
207,"Tir","Schlick 2000","Fulpmes","","",1000,2300,18,2,1,6
208,"Tir","See","See","","",1000,2450,30,1,2,4
209,"Tir","Seefeld-Gschwandtkopf","Seefeld","","",1200,1500,12,0,2,9
210,"Tir","Seefeld-Rosshütte","Seefeld","","",1240,2100,21,3,3,4
211,"Tir","Serleslifte","Mieders","","",982,1750,7,0,1,3
212,"Tir","Sölden-Hochsölden","Sölden","","",1350,3255,141,7,19,8
213,"Tir","Steinplatte","Waidring","","",1100,1900,32,1,7,0
214,"Tir","Stubaier Gletscher","Neustift im Stubaital","","",1750,3200,110,5,7,9
215,"Tir","Tiroler Zugspitzbahn","Ehrwald","","",1225,2962,23,2,1,8
216,"Tir","Venetregion","Landeck, Zams, Fließ","","",780,2212,22,1,3,3
217,"Tir","Vent","Vent","","",1900,2650,15,0,1,3
218,"Tir","SkiWelt Wilder Kaiser Brixental","Brixen im Thale, Ellmau, Going, Hopfgarten im Brixental, Itter, Kelchsau, Scheffau am Wilden Kaiser, Söll, Westendorf","","",620,1956,279,15,36,40
219,"Tir","Wildschönau","Wildschönau","","",830,1900,55,2,2,22
220,"Tir","Zahmer Kaiser","Walchsee","","",660,1060,20,0,1,7
221,"Tir","Zettersfeld-Hochstein","Lienz","","",686,2278,40,1,4,7
222,"Tir","Ski Zillertal 3000","Mayrhofen, Finkenberg, Lanersbach, Vorderlanersbach","","",630,2500,146,7,17,22
223,"Tir","Zillertal-Rastkogel-Eggalm","Tux","","",1300,2300,147,8,16,22
224,"Tir","Zillertal Arena","Zell am Ziller, Gerlos, Krimml, Wald im Pinzgau","","",1300,2500,155,4,28,23
225,"Vbg","Alberschwende","Alberschwende","","",720,1200,,0,1,7
226,"Vbg","Andelsbuch","Andelsbuch, Bezau","","",655,1715,20,2,2,5
227,"Vbg","Bödele-Hochälpele","Schwarzenberg, Dornbirn","","",710,1467,23,0,1,8
228,"Vbg","Brandnertal","Brand","","",904,2000,55,2,7,5
229,"Vbg","Damüls-Mellau","Au, Damüls, Mellau","","",700,2007,90,2,11,4
230,"Vbg","Diedamskopf","Schoppernau","","",850,2060,39,2,2,4
231,"Vbg","Fontanella-Faschina","Fontanella","","",1485,2000,15,0,2,2
232,"Vbg","Gapfohl-Laterns","Laterns, Innerlaterns","","",900,1785,27,0,2,4
233,"Vbg","Gargellen","Gargellen","","",1423,2300,47,1,2,5
234,"Vbg","Golm","Tschagguns, Vandans, Matschwitz","","",650,2110,26,3,3,3
235,"Vbg","Grabs-Tschagguns","Tschagguns","","",700,1600,4,0,1,1
236,"Vbg","Hirschberg-Bizau","Bizau","","",800,1700,30,0,1,5
237,"Vbg","Hochjoch","Schruns, Silbertal","","",700,2380,47,3,7,2
238,"Vbg","Hochhäderich","Hittisau","","",1300,1600,,0,0,5
239,"Vbg","Hochlitten Riefensberg","Riefensberg","","",1000,1200,,0,0,3
240,"Vbg","Kleinwalsertal","Riezlern, Hirschegg, Mittelberg","","",920,2030,56,4,13,15
241,"Vbg","Kristberg-Silbertal","Silbertal im Montafon","","",890,1600,4,1,0,2
242,"Vbg","Lech-Zürs am Arlberg","Lech, Oberlech, Zürs","","",1300,2444,110,5,18,11
243,"Vbg","Muttersberg","Bludenz","","",600,1400,,1,0,0
244,"Vbg","Pfänder","Bregenz","","",421,1064,6,1,0,2
245,"Vbg","Schetteregg","Egg im Bregenzerwald","","",1100,1400,,0,5,1
246,"Vbg","Schnepfau","Schnepfau, Bizau","","",800,1600,,0,0,4
247,"Vbg","Silvretta Nova","St. Gallenkirch, Gaschurn","","",1000,2300,110,4,8,16
248,"Vbg","Sonnenkopf","Klösterle","","",1000,2300,39,1,4,5
249,"Vbg","Sonntag","Sonntag","","",900,1750,8,1,1,1
250,"Vbg","Stuben-Langen","Stuben am Arlberg, Langen am Arlberg","","",1409,2529,25,0,4,3
251,"Vbg","Wald am Arlberg","Wald am Arlberg, Innerwald","","",1030,2280,,0,0,0
252,"Vbg","Warth-Schröcken","Schröcken, Warth","","",1500,2050,66,0,11,4
253,"Wie","Dollwiese","1130 Wien","","",290,330,0.12,0,0,1
254,"Wie","Hohe-Wand-Wiese","1140 Wien","","",258,370,0.4,0,0,1
