"DUKy";"Deutsch u. Komm.";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"DUK";;
"Dx";"Deutschgruppe x";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"D";;
"Dx-E";"Deutsch ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"D";;
"Dy";"Deutschgruppe y";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"D";;
"Dz";"Deutschgruppe z";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"D";;
"E1";"ENGLISCH";;;;;;;;;;;;"L1";1.16700;;"B";;;;;;
"E1x";"ENGLISCH GRUPPE X";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"E1";;
"E1y";"ENGLISCH GRUPPE Y";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"E1";;
"EKPR";"ENTWURFSKRITIK-PRODUKTQUALITÄT";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"EPR1";"ENTWURFSPROJEKT";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"ETH";"Ethik";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"EW1";"ENTWURF";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"EW1x";"Entwurf x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"EW1";;
"EW1y";"Entwurf y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"EW1";;
"EWD";"Entwurf und Design";;;;;;;;;;;;"L1";1.16700;;;;;;"EW1";;
"FAA";"Freifach Anwendung Algorithmen";;;"F";;;;;;;;;"L1";1.16700;;;;;;"LOAL";;
"FBESP";"Freifach Bewegung und Sport - Volleyball";;;;;;;;;;;;"L4A";0.95500;;;;;;"BESP";;
"FBSSE";"Freifach Sport und Ernährung";;;"F";;;;;;;;;"L4A";0.95500;;;;;;"BESP";;
"FBSSV";"Freifach MAGA";;;"F";;;;;;;;;"L1";1.16700;;;;;;"NWT1";;
"FCAS";"Freifach Anwendung von Computeralgebrasystemen";;;"F";;;;;;;;;"L1";1.16700;;;;;;"LOAL";;
"FCC";"Freifach Cambridge Certificate";;;;;;;;;;;;"L1";1.16700;;;;;;"CC1";;
"FD";"Freifach Deutsch";;;;;;;;;;;;"L1";1.16700;;;;;;"D";;
"FDAZ";"Freifach Deutsch als Fremd- & Zweitsprache";;;;;;;;;;;;"L1";1.16700;;"B";;;;"D";;
"FDSAI";"Freifach  Data Science und Business Intelligence";;;;;;;;;;;;"L1";1.16700;;;;;;"DSAI_1";;
"FEKI";"Freigegenstand Einführung in die künstliche Intelligenz";;;;;;;;;;;;"L1";1.16700;;;;;;"POS1";;
"FELUE";"Freigegenstand Angewandte Elektronik";;;;;;;;;;;;"L1";1.16700;;;;;;"ELUE";;
"FEMIK";"Freifach Licht- u. Elektr. Mikro";;;"F";;;;;;;;;"L2";1.10500;;;;;;"EL2";;
"FEP";"Freifach English Perfectionist";;;"F";;;;;;;;;"L1";1.16700;;;;;;"E1";;
"FEPx";"Freifach English Perfectionist";;;"F";;;;;;;;;"L1";1.16700;;;0;8454143;;"E1";;
"FEPy";"Freifach English Perfectionist";;;"F";;;;;;;;;"L1";1.16700;;;0;8454143;;"E1";;
"FFE";"Freigegenstand Female Empowerment";;;;;;;;;;;;"L3";1.05000;;;;;;"SOPK";;
"FHBF";"Freifach Hochbegabtenförderung";;;"F";;;;;;;;;"L1";1.16700;;;;;;"NWT1";;
"FKK";"Freifach Kunst und kulturelles Geschehen in Wien";;;"F";;;;;;;;;"L3";1.05000;;;;;;"GSK";;
"FKVT";"Freigegenstand Kommunikations- u. Verkaufstraining";;;;;;;;;;;;"L2";1.10500;;;;;;"VKVT";;
"FLAT";"Freigegenstand Latein";;;;;;;;;;;;"L2";1.10500;;;;;;"LAL2";;
"FMANM";"Freigegenstand Management";;;;;;;;;;;;"L2";1.10500;;;;;;"MANM";;
"FMGTK";"Freigegenstand Medizinaufnahmetest";;;;;;;;;;;;"L2";1.10500;;;;;;"MGTK";;
