"4AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"B5.13";;;;;;;;;;"12";"5a";;6;10;"8718";;;"Hesina";;;;;;1.00000;;"BW";;0;
"4BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"B5.12";;;;;;;;;;"12";"5a";;8;11;"8718";;;"Hesina";;;;;;1.00000;;"CAM";;0;
"5AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.06";;;;;;;;;;"13";"5a";;7;13;"8718";;"20220501";"Hesina";;;;;;1.00000;;"SF";;0;
"5BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"B5.06";;;;;;;;;;"13";"5a";;11;10;"8718";;"20220501";"Hesina";;;;;;1.00000;;"RR";;0;
"1AHIF";"HL f. Informatik";;"C1.17";;;;;;;;;;"9";"6";;15;18;"8738";;;"Jelinek";;;;;;1.00000;;"DOM";;0;
"1BHIF";"HL f. Informatik";;"C4.14";;;;;;;;;;"9";"6";;0;32;"8738";;;"Jelinek";;;;;;1.00000;;"NAI";;0;
"1CHIF";"HL f. Informatik";;"C4.14";;;;;;;;;;"9";"6";;0;33;"8738";;;"Jelinek";;;;;;1.00000;;"RX";;0;
"1DHIF";"HL f. Informatik";;"C1.13";;;;;;;;;;"9";"6";;0;31;"8738";;;"Jelinek";;;;;;1.00000;;"TT";;0;
"1EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C1.13";;;;;;;;;;"9";"6";;10;25;"8738";;;"Jelinek";;;;;;1.00000;;"PK";;0;
"2AHIF";"HL f. Informatik";;"C3.09";;;;;;;;;;"10";"6";;16;15;"8738";;;"Jelinek";;;;;;1.00000;;"FM";;0;
"2BHIF";"HL f. Informatik";;"C3.07";;;;;;;;;;"10";"6";;0;27;"8738";;;"Jelinek";;;;;;1.00000;;"BOM";;0;
"2CHIF";"HL f. Informatik";;"CH.13";;;;;;;;;;"10";"6";;0;24;"8738";;;"Jelinek";;;;;;1.00000;;"KRB";;0;
"2DHIF";"HL f. Informatik";;"C3.11";;;;;;;;;;"10";"6";;0;26;"8738";;;"Jelinek";;;;;;1.00000;;"FAL";;0;
"2EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C3.08";;;;;;;;;;"10";"6";;3;23;"8738";;;"Jelinek";;;;;;1.00000;;"FRF";;0;
"2FHIF";"HL f. Informatik";;"C5.08";;;;;;;;;;"10";"6";"1000";0;23;"8738";;;"Jelinek";;;;;;1.00000;;"ENU";;0;
"3AHIF";"HL f. Informatik";;"C4.11";;;;;;;;;;"11";"6";;10;17;"8738";;;"Jelinek";;;;;;1.00000;;"NIJ";;0;
"3BHIF";"HL f. Informatik";;"WAKL";;;;;;;;;;"11";"6";;0;25;"8738";;;"Jelinek";;;;;;1.00000;;"PC";;0;
"3CHIF";"HL f. Informatik";;"C5.06";;;;;;;;;;"11";"6";;0;24;"8738";;;"Jelinek";;;;;;1.00000;;"MAY";;0;
