104;"1EHIF";"PUZ";"POS1";"C1.13";3;2;;
4135;"1AVIF";"MAY";"GINF";"B3.08MF";1;11;;
4135;"1AVIF";"MAY";"GINF";"B3.08MF";1;12;;
4135;"1AVIF";"MRS";"GINF";"B3.08MF";1;11;;
4135;"1AVIF";"MRS";"GINF";"B3.08MF";1;12;;
105;"1EHIF";"PUZ";"POS1x";"B4.17MF";2;4;;
105;"1EHIF";"PUZ";"POS1x";"B4.17MF";2;5;;
105;"1EHIF";"PUZ";"POS1x";"B4.17MF";2;6;;
105;"1EHIF";"MOH";"POS1y";"B4.16MF";2;4;;
105;"1EHIF";"MOH";"POS1y";"B4.16MF";2;5;;
105;"1EHIF";"MOH";"POS1y";"B4.16MF";2;6;;
105;"1EHIF";"WW";"POS1z";"B4.15MF";2;4;;
105;"1EHIF";"WW";"POS1z";"B4.15MF";2;5;;
105;"1EHIF";"WW";"POS1z";"B4.15MF";2;6;;
4280;"2DHIF";"PUZ";"POS1";"C3.11";3;3;;
108;"4AHWIT";"REI";"RK";"A1.15";1;10;;
109;"2CHIF";"SCG";"POS1";"C5.08";3;4;;
121;"3ABIF";"PUE";"PRE";"C2.07";4;15;;
121;"3ABIF";"PUE";"PRE";"C2.07";4;16;;
3778;"2AHIF";"DOM";"NSCS_1";"C3.09";3;3;;
3778;"2AHIF";"DOM";"NSCS_1";"C3.09";3;4;;
127;"2BHIF";"MIP";"WMC_1";"C3.07";1;4;;
127;"2BHIF";"MIP";"WMC_1";"C3.07";1;5;;
3777;"2AHIF";"DOM";"NSCS_1x";"B3.11NW";3;3;;
3777;"2AHIF";"DOM";"NSCS_1x";"B3.11NW";3;4;;
3777;"2AHIF";"ZEP";"NSCS_1y";"B3.11NW";3;3;;
3777;"2AHIF";"ZEP";"NSCS_1y";"B3.11NW";3;4;;
128;"2AHIF";"DOM";"NSCS_1";"C4.11";3;3;;
128;"2AHIF";"DOM";"NSCS_1";"C4.11";3;4;;
129;"2BHIF";"STC";"NSCS_1";"C4.10";3;7;;
129;"2BHIF";"STC";"NSCS_1";"C4.10";3;8;;
130;"2AHIF";"DOM";"NSCS_1x";"B3.11NW";3;3;;
130;"2AHIF";"DOM";"NSCS_1x";"B3.11NW";3;4;;
130;"2AHIF";"ZEP";"NSCS_1y";"B3.11NW";3;3;;
130;"2AHIF";"ZEP";"NSCS_1y";"B3.11NW";3;4;;
131;"2CHIF";"SWH";"NSCS_1";"C5.08";3;5;;
131;"2CHIF";"SWH";"NSCS_1";"C5.08";3;6;;
132;"2AHIF";"FM";"SOPK";"C3.09";3;7;;
132;"2AHIF";"CSR";"SOPK";"C3.09";3;7;;
133;"2CHIF";"KRB";"SOPK";"C5.08";3;1;;
133;"2CHIF";"KDC";"SOPK";"C5.08";3;1;;
134;"1AHBGM";"RR";"MGT";"C5.09";4;5;;
134;"1AHBGM";"RR";"MGT";"C5.09";4;6;;
135;"1AHBGM";"PK";"BMG2";"C5.09";4;7;;
135;"1AHBGM";"PK";"BMG2";"C5.09";5;3;;
136;"1AHBGM";"HOM";"NW2";"C5.09";3;3;;
136;"1AHBGM";"HOM";"NW2";"C5.09";3;4;;
136;"1AHBGM";"HOM";"NW2";"C5.09";5;2;;
137;"1AHBGM";"SLK";"MGIN";"C5.09";5;6;;
138;"1AHBGM";"SLK";"MGINx";"B3.08MF";2;1;;
138;"1AHBGM";"SLK";"MGINx";"B3.08MF";2;2;;
138;"1AHBGM";"SLK";"MGINx";"B3.08MF";2;3;;
138;"1AHBGM";"WW";"MGINy";"B3.08MF";2;1;;
138;"1AHBGM";"WW";"MGINy";"B3.08MF";2;2;;
138;"1AHBGM";"WW";"MGINy";"B3.08MF";2;3;;
139;"2AHIF";"SPO";"WMC_1";"C3.09";2;3;;
139;"2AHIF";"SPO";"WMC_1";"C3.09";2;4;;
140;"1AVIF";"EDJ";"AM";"C1.07";2;11;;
140;"1AVIF";"EDJ";"AM";"C1.07";2;12;;
140;"1AVIF";"EDJ";"AM";"C1.07";3;11;;
140;"1AVIF";"EDJ";"AM";"C1.07";3;12;;
141;"5ACMNA";"JAD";"MPAN";"A3.19";4;15;;
141;"5ACMNA";"JAD";"MPAN";"A3.19";4;16;;
141;"5ACMNA";"JIM";"MPAN";"A3.19";4;15;;
141;"5ACMNA";"JIM";"MPAN";"A3.19";4;16;;
144;"6AKKUI";"POD";"DAT";"A2.04";5;1;;
