"3AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"WAKL";;;;;;;;;;"11";"5a";;8;13;"8718";;;"Hesina";;;;;;1.00000;;"SF";;0;
"3BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"WAKL";;;;;;;;;;"11";"5a";;11;14;"8718";;;"Hesina";;;;;;1.00000;;"RR";;0;
"4AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"B5.13";;;;;;;;;;"12";"5a";;8;11;"8618";;;"Hesina";;;;;;1.00000;;"JEL";;0;
"4BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.06";;;;;;;;;;"12";"5a";;5;9;"8618";;;"Hesina";;;;;;1.00000;;"ZEP";;0;
"5AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"B5.10";;;;;;;;;;"13";"5a";;14;18;"8718";;"20200503";"Hesina";;;;;;1.00000;;"PIR";;0;
"1AHIF";"HL f. Informatik";;"C5.09";;;;;;;;;;"9";"6";;21;11;"8738";;;"Jelinek";;;;;;1.00000;;"NIJ";;0;
"1BHIF";"HL f. Informatik";;"C5.09";;;;;;;;;;"9";"6";;0;32;"8738";;;"Jelinek";;;;;;1.00000;;"GAL";;0;
"1CHIF";"HL f. Informatik";;"C5.10";;;;;;;;;;"9";"6";;0;32;"8738";;;"Jelinek";;;;;;1.00000;;"MAY";;0;
"1DHIF";"HL f. Informatik";;"C5.10";;;;;;;;;;"9";"6";;0;32;"8738";;;"Jelinek";;;;;;1.00000;;"MAF";;0;
"1EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C4.14";;;;;;;;;;"9";"6";;9;22;"8738";;;"Jelinek";;;;;;1.00000;;"SAC";;0;
"1FHIF";"HL f. Informatik";;"C4.14";;;;;;;;;;"9";"6";;0;32;"8738";;;"Jelinek";;;;;;1.00000;;"VOG";;0;
"2AHIF";"HL f. Informatik";;"C4.07";;;;;;;;;;"10";"6";;9;19;"8738";;;"Jelinek";;;;;;1.00000;;"SWA";;0;
"2BHIF";"HL f. Informatik";;"C4.07";;;;;;;;;;"10";"6";;0;28;"8738";;;"Jelinek";;;;;;1.00000;;"HOV";;0;
"2CHIF";"HL f. Informatik";;"C4.08";;;;;;;;;;"10";"6";;0;28;"8738";;;"Jelinek";;;;;;1.00000;;"MIP";;0;
"2DHIF";"HL f. Informatik";;"C4.08";;;;;;;;;;"10";"6";;0;27;"8738";;;"Jelinek";;;;;;1.00000;;"RX";;0;
"2EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C4.09";;;;;;;;;;"10";"6";;4;24;"8738";;;"Jelinek";;;;;;1.00000;;"SK";;0;
"3AHIF";"HL f. Informatik";;"C4.10";;;;;;;;;;"11";"6";;6;26;"8738";;;"Jelinek";;;;;;1.00000;;"GC";;0;
"3BHIF";"HL f. Informatik";;"C4.10";;;;;;;;;;"11";"6";;0;31;"8738";;;"Jelinek";;;;;;1.00000;;"BES";;0;
"3CHIF";"HL f. Informatik";;"C4.11";;;;;;;;;;"11";"6";;0;31;"8738";;;"Jelinek";;;;;;1.00000;;"LEV";;0;
"3EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C4.11";;;;;;;;;;"11";"6";;2;25;"8738";;;"Jelinek";;;;;;1.00000;;"LAD";;0;
"4AHIF";"HL f. Informatik";;"C3.07";;;;;;;;;;"12";"6";;1;24;"8638";;;"Jelinek";;;;;;1.00000;;"SZ";;0;
"4BHIF";"HL f. Informatik";;"C3.07";;;;;;;;;;"12";"6";;0;26;"8638";;;"Jelinek";;;;;;1.00000;;"SIL";;0;
"4CHIF";"HL f. Informatik";;"C3.08";;;;;;;;;;"12";"6";;0;27;"8638";;;"Jelinek";;;;;;1.00000;;"TT";;0;
"4EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C3.08";;;;;;;;;;"12";"6";;2;24;"8638";;;"Jelinek";;;;;;1.00000;;"PK";;0;
"5AHIF";"HL f. Informatik";;"C3.10";;;;;;;;;;"13";"6";;2;27;"8738";;"20200503";"Jelinek";;;;;;1.00000;;"SO";;0;
"5BHIF";"HL f. Informatik";;"C3.10";;;;;;;;;;"13";"6";;0;28;"8738";;"20200503";"Jelinek";;;;;;1.00000;;"PE";;0;
"5CHIF";"HL f. Informatik";;"C3.11";;;;;;;;;;"13";"6";;0;28;"8738";;"20200503";"Jelinek";;;;;;1.00000;;"BOM";;0;
"5EHIF";"HL f. Informatik - Englisch als Arbeitssprache";;"C3.11";;;;;;;;;;"13";"6";;5;24;"8738";;"20200503";"Jelinek";;;;;;1.00000;;"KRB";;0;
"1AVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";;;;;;;;;;;"41";"7w";"1000";2;29;"3586";;"20200209";"Berger";;;;;;1.00000;;"SW";;0;
"1BVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";;;;;;;;;;;"41";"7w";"1000";6;20;"3586";;"20200209";"Berger";;;;;;1.00000;;"LEV";;0;
"1CVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";;;;;;;;;;;"41";"7w";"1000";5;22;"3586";;"20200209";"Berger";;;;;;1.00000;;"KOL";;0;
"1DVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";;;;;;;;;;;"41";"7w";"1000";6;24;"3586";;"20200209";"Berger";;;;;;1.00000;;"SWA";;0;
"2ABIF";"Aufbaulehrgang f. Informatik - Abend";"A";;"N";;;;;;;;;"51";"7s";"1000";2;30;"8168";"20200210";;"Berger";;;;;;1.00000;;"SW";;0;
"2DAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"51";"4s";"1000";6;24;"8168";"20200210";;"Berger";;;;;;1.00000;;;;0;
"3ACIF";"Kolleg f. Informatik - Abend";"A";;;;;;;;;;;"21";"7w";"1000";17;16;"8244";;"20200209";"Berger";;;;;;1.00000;;"GT";;0;
"3BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;;;;;;;;;;"52";"7w";"1000";4;18;"8168";;"20200209";"Berger";;;;;;1.00000;;"SB";;0;
"4ACIF";"Kolleg f. Informatik - Abend";"A";;"N";;;;;;;;;"22";"7s";"1000";17;16;"8244";"20200210";;"Berger";;;;;;1.00000;;"GT";;0;
"4BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;"N";;;;;;;;;"53";"7s";"1000";4;18;"8168";"20200210";;"Berger";;;;;;1.00000;;"SB";;0;
"5ACIF";"Kolleg f. Informatik - Abend";"A";;;;;;;;;;;"23";"7w";"1000";3;11;"8244";;"20200209";"Berger";;;;;;1.00000;;"SE";;0;
"5BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;;;;;;;;;;"53";"7w";"1000";2;15;"8168";;"20200209";"Berger";;;;;;1.00000;;"STH";;0;
"6ACIF";"Kolleg f. Informatik - Abend";"A";;"N";;;;;;;;;"24";"7s";"1000";3;11;"8244";"20200210";;"Berger";;;;;;1.00000;;"SE";;0;
"6BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;"N";;;;;;;;;"53";"7s";"1000";2;15;"8168";"20200210";;"Berger";;;;;;1.00000;;"STH";;0;
"7ACIF";"Kolleg f. Informatik - Abend";"A";;;;;;;;;;;"25";"7w";"1000";4;17;"8244";;"20200209";"Berger";;;;;;1.00000;;"LIC";;0;
"7BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;;;;;;;;;;"53";"7w";"1000";2;21;"8168";;"20200209";"Berger";;;;;;1.00000;;"PUC";;0;
"7CBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;;;;;;;;;;"53";"7w";"1000";1;19;"8168";;"20200209";"Berger";;;;;;1.00000;;"PT";;0;
"8ACIF";"Kolleg f. Informatik - Abend";"A";;"N";;;;;;;;;"26";"7s";"1000";4;17;"8244";"20200210";"20200503";"Berger";;;;;;1.00000;;"LIC";;0;
"8BBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;"N";;;;;;;;;"53";"7s";"1000";2;21;"8168";"20200210";"20200503";"Berger";;;;;;1.00000;;"PUC";;0;
"8CBIF";"Aufbaulehrgang f. Informatik - Abend";"A";;"N";;;;;;;;;"53";"7s";"1000";1;19;"8168";"20200210";"20200503";"Berger";;;;;;1.00000;;"PT";;0;
"3ACMNA";"Kolleg für Medien - Animation";"A";"A3.13";;;;;;;;;;"21";"7wa";"1000";19;8;"8195";;"20200209";"Pramel";;;;;;1.00000;;"BIN";;0;
"4ACMNA";"Kolleg für Medien - Animation";"A";"A3.13";;;;;;;;;;"22";"7sa";"1000";19;8;"8195";"20200210";;"Pramel";;;;;;1.00000;;"BIN";;0;
"3ACMNG";"Kolleg für Medien - Game Design";"A";"A3.05";"N";;;;;;;;;"21";"7wa";"1000";13;10;"8199";;"20200209";"Pramel";;;;;;1.00000;;"LJK";;0;
"4ACMNG";"Kolleg für Medien - Game Design";"A";"A3.05";"N";;;;;;;;;"22";"7sa";"1000";13;10;"8199";"20200210";;"Pramel";;;;;;1.00000;;"LJK";;0;
"5ACMNA";"Kolleg für Medien - Animation";"A";"A3.19";;;;;;;;;;"23";"7wa";"1000";17;4;"8195";;"20200209";"Pramel";;;;;;1.00000;;"BIN";;0;
"6ACMNA";"Kolleg für Medien - Animation";"A";"A3.19";"N";;;;;;;;;"24";"7sa";"1000";17;4;"8195";"20200210";;"Pramel";;;;;;1.00000;;"BIN";;0;
"5ABKUF";"Kolleg für Design - Fine Art Photography and Multimedia Arts - Medien";"A";"A3.14";;;;;;;;;;"25";"7wa";"1000";17;11;"8813";;"20200209";"Pramel";;;;;;1.00000;;"BIN";;0;
"6ABKUF";"Kolleg für Design - Fine Art Photography and Multimedia Arts - Medien";"A";"A3.14";"N";;;;;;;;;"26";"7sa";"1000";17;11;"8813";"20200210";"20200524";"Pramel";;;;;;1.00000;;"BIN";;0;
"1EVIF";"Vorbereitungslehrgang f. Informatik - Abend";"A";;;;;;;;;;;"41";"7w";"1000";4;27;"3586";;"20200209";"Berger";;;;;;1.00000;;"PUA";;0;
"FS3_13";;;;"IN";;;;;;;;;"13";;;0;0;;;;;;;;;;1.00000;;;;0;
